Value,Label
210,Major durables for indoor recreation
211,Major durables for outdoor recreation
212,Major household appliances whether electric or not
213,Major household appliances whether electric or not and small electric household appliances
214,Major items for games and sport
215,Major tools and equipment
216,Margarine and other vegetable fats
217,Materials for the maintenance and repair of the dwelling
218,Meat
219,"Medical products, appliances and equipment"
220,Medical services
221,Medical services and paramedical services
222,"Milk, cheese and eggs"
223,Mineral or spring waters
224,"Mineral waters, soft drinks, fruit and vegetable juices"
225,Miscellaneous goods and services
226,Miscellaneous printed matter
227,Miscellaneous printed matter; stationery and drawing materials
228,Miscellaneous small tool accessories
229,Mobile telephone equipment
230,Motor cars
231,Motor cycles
232,"Motor cycles, bicycles and animal drawn vehicles"
233,Motor vehicle insurance
234,Motorized major tools and equipment
235,"Museums, libraries, zoological gardens"
236,Musical instruments
237,Musical instruments and major durables for indoor recreation
238,Natural gas and town gas
239,New motor cars
240,Newspapers
241,Newspapers and periodicals
242,"Newspapers, books and stationery"
243,Non-alcoholic beverages
244,Non-durable household goods
245,Non-electric kitchen utensils and articles
246,Non-electrical appliances
247,Non-energy industrial goods
248,"Non-energy industrial goods, durables only"
249,"Non-energy industrial goods, non-durables only"
250,"Non-energy industrial goods, semi-durables only"
251,Non-motorised small tools
252,Oils and fats
253,Olive oil
254,Operation of personal transport equipment
255,Optical instruments
256,Other actual rentals
257,Other alcoholic beer
258,"Other appliances, articles and products for personal care"
259,Other articles of clothing
260,Other articles of clothing and clothing accessories
261,Other bakery products
262,Other cereal products
263,Other cultural services
264,Other domestic services and household services
265,Other edible animal fats
266,Other edible oils
267,"Other equipment for the reception, recording and reproduction of sound and picture"
268,Other equipment of telephone and telefax equipment
269,Other fees and services
270,Other floor coverings
271,Other food products n.e.c.
272,Other fuels for personal transport equipment
273,Other furniture and furnishings
274,Other household textiles
275,Other information transmission services
276,Other insurance
277,Other major durables for recreation and culture
278,Other major household appliances
279,Other meat preparations
280,Other meats
281,Other medical products
282,Other medical products n.e.c.
283,"Other medical products, therapeutic appliances and equipment"
284,Other milk products
285,Other non-durable small household articles
286,Other non-fiction books
287,Other paramedical services
288,Other personal effects
289,Other personal effects n.e.c.
290,Other postal services
291,Other preserved or processed fish and seafood and fish and seafood preparations
292,Other purchased transport services
293,Other purchased transport services n.e.c.
294,Other recording media
295,"Other recreational items and equipment, gardens and pets"
296,Other services for maintenance and repair of the dwelling
297,Other services in respect of personal transport equipment
298,Other services n.e.c.
299,Other services related to dwelling
300,Other services relating to the dwelling n.e.c.
301,Other small electric household appliances
302,Other solid fuels
303,Other stationery and drawing materials
304,Other therapeutic appliances and equipment
305,Other tobacco products
306,Other tubers and products of tuber vegetables
307,Out-patient services
308,Overall index excluding administered prices
309,Overall index excluding alcohol and tobacco
310,"Overall index excluding education, health and social protection"
311,Overall index excluding energy
312,Overall index excluding energy and seasonal food
313,Overall index excluding energy and unprocessed food
314,"Overall index excluding energy, food, alcohol and tobacco"
315,Overall index excluding frequent out-of-pocket purchases
316,Overall index excluding fully administered prices
317,"Overall index excluding housing, water, electricity, gas and other fuels"
318,Overall index excluding liquid fuels and lubricants for personal transport equipment
319,Overall index excluding mainly administered prices
320,Overall index excluding seasonal food
321,Overall index excluding tobacco
322,Package domestic holidays
323,Package holidays
324,Package international holidays
325,Paper products
326,Paramedical services
327,Passenger transport by air
328,Passenger transport by bus and coach
329,Passenger transport by inland waterway
330,Passenger transport by railway
331,Passenger transport by road
332,Passenger transport by sea
333,Passenger transport by sea and inland waterway
334,Passenger transport by taxi and hired car with driver
335,Passenger transport by train
336,Passenger transport by underground and tram
337,Pasta products and couscous
338,Personal care
339,Personal computers
340,Personal effects n.e.c.
341,Personal grooming treatments
342,Petrol
343,Pets and related products
344,Pets and related products; veterinary and other services for pets
345,Pharmaceutical products
346,Photographic and cinematographic equipment and optical instruments
347,Photographic services
348,Pizza and quiche
349,Plants and flowers
350,Pork
351,Portable sound and vision devices
352,Post-secondary non-tertiary education
353,Postal services
354,Potatoes
355,Poultry
356,Pre-primary and primary education
357,Pre-primary education
358,Pre-recorded recording media
359,Pregnancy tests and mechanical contraceptive devices
360,Preserved fruit and fruit-based products
361,Preserved milk
362,Primary education
363,Private insurance connected with health
364,Processed food excluding alcohol and tobacco
365,Processed food including alcohol and tobacco
366,Products for pets
367,Purchase of pets
368,Purchase of vehicles
369,Ready-made meals
370,Recording media
371,Recreation and culture
372,Recreational and cultural services
373,Recreational and sporting services
374,Recreational and sporting services - Attendance
375,Recreational and sporting services - Participation
376,"Refrigerators, freezers and fridge-freezers"
377,Refuse collection
378,Removal and storage services
379,Repair and hire of clothing
380,Repair and hire of footwear
381,"Repair of audio-visual, photographic and information processing equipment"
382,Repair of electric appliances for personal care
383,"Repair of equipment for sport, camping and open-air recreation"
384,"Repair of furniture, furnishings and floor coverings"
385,"Repair of glassware, tableware and household utensils"
386,Repair of household appliances
387,Repair of household textiles
388,"Repair of jewellery, clocks and watches"
389,Repair of non-motorised small tools and miscellaneous accessories
390,Repair of other personal effects
391,Repair of telephone or telefax equipment
392,Repair of therapeutic appliances and equipment
393,"Repair, leasing and rental of major tools and equipment"
394,Restaurants and hotels
395,"Restaurants, caf├â┬®s and dancing establishments"
396,"Restaurants, caf├â┬®s and the like"
397,Retirement homes for elderly persons and residences for disabled persons
398,Rice
399,"Salt, spices and culinary herbs"
400,"Sauces, condiments"
401,Seasonal food
402,Second-hand motor cars
403,Secondary education
404,Security services
405,Services (overall index excluding goods)
406,Services - miscellaneous
407,Services for the maintenance and repair of the dwelling
408,Services of carpenters
409,Services of electricians
410,Services of laying of fitted carpets and floor coverings
411,Services of medical analysis laboratories and X-ray centres
412,Services of painters
413,Services of plumbers
414,Services related to communication
415,Services related to housing
416,Services related to package holidays and accommodation
417,"Services related to recreation and personal care, excluding package holidays and accommodation"
418,"Services related to recreation, including repairs and personal care"
419,Services related to transport
420,Services to maintain people in their private homes
421,Sewerage collection
422,Shoes and other footwear
423,Small electric household appliances
424,Small tools and miscellaneous accessories
425,Social protection
426,Soft drinks
427,Software
428,Solid fuels
429,Spare parts and accessories for personal transport equipment
430,Spare parts for personal transport equipment
431,Specialist practice
432,Spirits
433,Spirits and liqueurs
434,Stationery and drawing materials
435,Sugar
436,"Sugar, jam, honey, chocolate and confectionery"
437,Table linen and bathroom linen
438,Tea
439,Telephone and telefax equipment
440,Telephone and telefax equipment and services
441,Telephone and telefax services
442,"Television and radio licence fees, subscriptions"
443,Tertiary education
444,Therapeutic appliances and equipment
445,"Thermal-baths, corrective-gymnastic therapy, ambulance and hire of therapeutic equipment"
446,Toasters and grills
447,Tobacco
448,Toll facilities and parking meters
449,Tools and equipment for house and garden
450,Toys and celebration articles
451,Transport
452,Transport services
453,Travel goods
454,Travel insurance
455,Tyres
456,Unprocessed food
457,Unrecorded recording media
458,Vegetables
459,Veterinary and other services for pets
460,Water supply
461,Water supply and miscellaneous services relating to the dwelling
462,Wine
463,Wine from grapes
464,Wine from other fruits
465,Wine-based drinks
466,Wired telephone services
467,Wireless telephone services
468,Yoghurt   
